    ,,,D7419,潮汕,深圳北,北京,4311.0,59.0
    ,,,D7421,潮汕,深圳北,厦深广东,7059.5,82.0
    ,,,D7422,深圳北,潮汕,厦深广东,-268.5,-3.0
    ,,,D7423,潮汕,深圳北,厦深广东,4506.5,54.0
    ,,,D7424,深圳北,潮汕,厦深广东,-70.5,-1.0
    ,,,D7425,潮汕,深圳北,厦深广东,2814.5,32.0
    ,,,D7503,潮汕,广州东,广深公司,48015.0,316.0
    ,,,D7505,广州东,潮汕,广深公司,-367.5,-1.0
    ,,,D7507,潮汕,广州东,广深公司,54573.5,356.0
    ,,,D7509,广州东,潮汕,广深公司,-163.5,-1.0
    ,,,D7511,潮汕,广州东,广深公司,52221.0,341.0
    ,,,D7513,广州东,潮汕,广深公司,-125.5,-1.0
    ,,,D7515,潮汕,广州东,广深公司,29146.5,188.0
    ,,,D7517,广州东,潮汕,广深公司,99.0,0.0
    ,,,D7519,潮汕,广州东,广深公司,22508.0,161.0
    ,,,D7521,广州东,潮汕,广深公司,43.5,1.0
    ,,,D7523,潮汕,广州东,广深公司,58665.5,386.0
    ,,,D7525,广州东,潮汕,广深公司,-125.5,-1.0
    ,,,D7527,潮汕,广州东,广深公司,27224.0,180.0
    ,,,D7529,广州东,潮汕,广深公司,-432.5,-3.0
    ,,,D7531,潮汕,广州东,广深公司,61895.5,384.0
    ,,,D9587,龙岩,福州南,南昌,166.5,3.0
    ,,,D9721,潮汕,深圳北,厦深广东,7986.0,101.0
    ,,,D9723,潮汕,深圳北,厦深广东,7482.0,90.0
    ,,,D9730,深圳北,潮汕,厦深广东,-89.5,-1.0
    ,,,G146,上海虹桥,北京南,北京,-344.0,-1.0
    ,,,G1601,合肥南,深圳北,上海,3134.5,38.0
    ,,,G1602,深圳北,合肥南,上海,2119.0,12.0
    ,,,G1612,厦门北,合肥南,上海,-1506.5,-5.0
    ,,,G1654,厦门北,上海虹桥,南昌,227.5,1.0
    ,,,G1658,厦门北,上海虹桥,上海,-729.5,-3.0
    ,,,G1680,厦门,杭州东,南昌,-237.0,-1.0
    ,,,G2932,广州南,昆明南,广铁集团,-642.0,-2.0
    ,,,G356,厦门北,北京南,南昌,-302.0,-1.0
    ,,,G489,南昌西,北京西,南昌,-242.0,-1.0
    ,,,G5206,厦门,南昌西,南昌,2544.0,10.0
    ,,,G6207,广州南,深圳北,广深港公司,-49.5,-1.0
    ,,,G6252,深圳北,广州南,广深港公司,99.5,1.0
    ,,,G6303,潮汕,广州南,厦深广东,42491.0,301.0
    ,,,G6305,广州南,潮汕,厦深广东,-15.0,-2.0
    ,,,G6307,潮汕,广州南,厦深广东,45308.0,304.0
    ,,,G6309,广州南,潮汕,厦深广东,-656.0,-4.0
    ,,,G6311,潮汕,广州南,厦深广东,27871.0,220.0
    ,,,G6313,广州南,潮汕,厦深广东,-155.5,0.0
    ,,,G6315,潮汕,广州南,厦深广东,27435.5,193.0
    ,,,G6317,广州南,潮汕,厦深广东,-73.0,-1.0
    ,,,G6319,潮汕,广州南,厦深广东,66481.0,467.0
    ,,,G6323,潮汕,广州南,厦深广东,50679.0,345.0
    ,,,G6325,广州南,潮汕,厦深广东,0.0,0.0
    ,,,G6327,潮汕,广州南,厦深广东,83765.5,568.0
    ,,,G6329,广州南,潮汕,厦深广东,-358.0,-2.0
    ,,,G6331,潮汕,广州南,厦深广东,17409.0,108.0
    ,,,G6482,福田,邵阳,广铁集团,39.5,1.0
    ,,,G6508,福田,广州南,广深港公司,-14.5,-1.0
    ,,,G6518,福田,广州南,广深港公司,39.5,1.0
    ,,,G74,深圳北,郑州东,郑州,1455.0,2.0
    ,,,G9641,广州南,潮汕,厦深广东,-164.0,-1.0
    ,,,G9643,潮汕,广州南,厦深广东,29410.5,200.0
    ,,,G9647,潮汕,广州南,厦深广东,31639.0,217.0
    ,,,G9666,广州南,郴州西,武广广州,26.0,0.0
    ,,,G9692,广州南,长沙南,武广广州,523.5,3.0
    ,,,K2388,长春,南宁,沈阳,-312.5,-5.0
    ,,,K4368,东莞东,南昌,南昌,-132.0,-1.0
    ,,,K4374,广州东,贵阳,成都,-177.5,-1.0
    ,,,K4488,汕头,武昌,广深公司,-1545.0,-11.0
    ,,,K470,赣州,苏州,南昌,25.0,2.0
    ,,,K6210,厦门,景德镇,南昌,-105.0,-1.0
    ,,,K6538,肇庆,邵阳,羊城总公司,102.0,1.0
    ,,,K6608,广州东,岳阳,广铁集团,456.0,4.0
    ,,,K6630,广州东,衡阳,广铁集团,-91.0,-1.0
    ,,,K6636,广州东,长沙,广铁集团,205.0,2.0
    ,,,K688,汕头,重庆北,广梅汕公司,-1284.0,-4.0
    ,,,T8380,汕头,广州东,广梅汕公司,-137.0,-1.0
    ,,,Z236,广州东,哈尔滨,哈尔滨,0.0,0.0
